Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
1,-0.01286017781322875,0.09689150760389559,-0.5466746345344973
1.079775162327709,-0.008449232096742186,0.09126689296935199,-0.5725355873693729
1.165914401179831,-0.005394138029431986,0.1113730778938751,-0.6101333495582679
1.258925411794166,-0.004516706313038328,0.1025493831527867,-0.7046031877248424
1.359356390878524,-0.01147114316800844,0.1181598716358407,-0.6805251951436588
1.467799267622071,0.007597627918125676,0.09699356496203683,-0.7697305276497843
1.584893192461114,-0.005834581671793605,0.1175794529237404,-0.8748969982153767
1.711328304161781,-0.007402100832400341,0.1245330564751324,-0.9743181342626315
1.847849797422291,-0.002639398591311485,0.1284782913809708,-0.965236930232976
1.995262314968883,-0.007188779928671837,0.1495490646103524,-1.073987095630173
2.154434690031882,0.003832606299561959,0.1455409537032563,-1.137914473682656
2.326305067153629,0.01185189941599859,0.1604251841292945,-1.318299931067656
2.511886431509577,0.002773777019192914,0.1655226812228653,-1.403536892654458
2.71227257933203,0.003527030328345707,0.1938148584937912,-1.449264275141836
2.928644564625238,0.005431588306926394,0.2179601415183987,-1.67668608717415
3.16227766016838,-0.0260243903724908,0.2581727148628918,-1.799007207011648
3.414548873833601,-0.002965151550229151,0.2588932936144983,-1.903369406164884
3.686945064519574,-0.01868699071250986,0.3103004079309584,-2.144891618079143
3.98107170553497,-0.01221522420939426,0.3474710447158861,-2.270878776463917
4.298662347082282,-0.02112075067138681,0.4036315751930256,-2.501083162473151
4.641588833612773,-0.01086763338548021,0.4287582743696193,-2.640937543359655
5.011872336272726,-0.01874456179471956,0.4956862105240423,-2.966030493493676
5.411695265464638,-0.01182259453577802,0.5677396083710821,-3.104362161352895
5.843414133735176,-0.01874721299382691,0.6446185345951595,-3.431233637393852
6.30957344480193,-0.009864328381313174,0.7430409173027263,-3.917137015278357
6.81292069057961,-0.006256414018729808,0.8469424428296123,-4.320017811471047
7.356422544596422,-0.03440381882811468,0.9907867401182191,-4.84098437586276
7.943282347242807,-0.05156620723908406,1.153741022028993,-5.380220256967647
8.576958985908947,-0.04763491335991833,1.339907191663351,-5.966035177691282
9.261187281287938,-0.05042093133617272,1.57288463048333,-6.77944024456508
10,-0.07120767334613169,1.845506847491597,-7.690205847737275
10.7977516232771,-0.08821349178875899,2.170066938160998,-9.002243149364567
11.65914401179833,-0.1024651877416412,2.558396303419794,-10.34910157369016
12.58925411794166,-0.1257322589117638,3.035010160229228,-12.31404702305591
13.59356390878526,-0.1494899971876946,3.615419755271755,-14.70724539511664
14.67799267622071,-0.2080277218371763,4.333270267062078,-17.88140009408647
15.84893192461114,-0.3161526298183424,5.211721047217001,-22.61906504174391
17.11328304161781,-0.4491861621058505,6.284083278011728,-29.67233568725014
18.47849797422293,-0.6546316183837148,7.452742180071779,-40.50347913652445
19.95262314968879,-0.9348063131881899,8.44959184383181,-56.8575710884239
21.54434690031882,-1.095022380253072,8.600972250981316,-78.47601136991881
23.26305067153627,-0.9719013903485509,7.446722069902307,-100.0943750394242
25.11886431509583,-0.7216131078164316,5.419082460098998,-116.8335701593512
27.12272579332027,-0.4917562937082859,3.108341795436774,-128.1194825180989
29.28644564625238,-0.3359785964416274,0.7885627662146188,-135.9314283429034
31.6227766016838,-0.2245703616822827,-1.371819038131669,-141.2541658724929
34.14548873833601,-0.1560637930296285,-3.444156750014277,-144.87239889591
36.86945064519578,-0.09969663922761836,-5.435428011818945,-147.902820318346
39.81071705534978,-0.08301665448091718,-7.333807961204314,-150.0999279518265
42.98662347082277,-0.1027453063649744,-8.731386273272737,-145.4324301826789
46.41588833612773,1.027400090852332,-13.78302417162704,-146.3630645192279
50.11872336272726,-0.4782779447956843,-10.35726761986735,-136.844134654836
54.11695265464638,1.047610248787001,-18.56357547725495,-151.6542519297442
58.43414133735176,0.5436171698343257,-18.49083525110817,-158.9620163824448
63.09573444801931,0.09057826444968178,-17.93164446930832,-155.3708544192002
68.12920690579617,-0.01372381368447127,-19.23130408439274,-160.8849650466474
73.56422544596407,-0.02389168348891376,-20.89792029416908,-163.9940794079108
79.43282347242814,-0.03053868043407525,-22.88899400900994,-166.7474199267127
85.76958985908948,-0.4632495768170068,-20.99314322997195,-167.4439778555761
92.6118728128794,0.9966696972465915,-29.69816869500322,-69.2082728102034
100,-0.9519285262423373,-19.24943119003023,-143.4074502453758
107.9775162327711,1.177542569003308,-29.4151367723189,9.807571747582655
116.5914401179831,0.4694527172833832,-43.69073540990126,-60.73390445857214
125.8925411794166,-0.1739741863855816,-26.56107989174923,126.6163860886492
135.9356390878527,-0.08624837471632801,-29.23555683666905,117.6958766786673
146.7799267622071,-0.1262835044236544,-25.1800758550879,101.5498102643633
158.4893192461113,0.1257339196855426,-26.06857847601856,81.53472572358443
171.1328304161781,0.1014966759108812,-23.29039121629288,80.21506975803709
184.7849797422291,-0.5429130443610041,-24.04390590210136,110.7640061351875
199.5262314968879,-0.0326454232535053,-26.83001678293931,82.71569254223033
215.4434690031885,0.3387258525781229,-20.82635132728946,67.01223906865876
232.6305067153629,-0.1208465781645825,-21.19746922977693,81.28051102604957
